n.;identificator;Age years;Body weight;withers height;hip height;chest depth;chest width;ilium width;sciatic tubercle width;oblique body length;oblique rear length;heart girth;metacarpus girth;backside half-girth
469;пнд-01705;5;550;123;125;67;45;45;25;170;47;187;24;115
470;пнд-01708;5;550;133;129;43;48;23;160;159;54;185;26;127
471;пнд-02111;5;510;114;124;62;45;49;22;146;50;182;26;109
472;пнд-02312;5;527;123;125;59;40;45;21;150;48;189;26;110
473;пнд-02514;5;600;127;130;67;45;48;21;154;50;179;25;108
474;пнд-03326;5;574;123;125;69;45;52;22;163;55;190;26;118
475;пнд-04342;5;516;120;123;60;40;44;20;154;50;200;22;120
476;пнд-05129;5;500;125;126;67;39;47;25;160;48;180;25;121
477;пнд-02114;5;450;127;128;67;43;45;22;150;50;189;26;109
478;пнд-03118;5;500;128;132;67;45;47;25;162;50;192;22;110
479;пнд-05540;5;570;136;138;70;45;50;25;171;51;190;25;107
480;пнд-11159;5;498;129;130;73;45;55;162;150;40;177;21;108
481;пнд-12130;5;563;128;129;74;46;56;26;171;51;180;21;110
482;пнд-12517;5;500;127;133;51;44;54;21;169;51;181;20;104
483;пнд-13530;3;470;129;131;50;43;52;21;170;50;182;22;105
484;пнд-14149;5;480;126;130;68;42;45;21;198;51;190;21;104
485;пнд-14330;5;500;127;128;65;42;51;21;174;50;190;21;104
486;пнд-15538;5;510;127;128;65;42;51;21;174;50;190;21;104
487;пнд-18348;3;460;129;131;68;43;50;21;180;51;192;20;102
488;пнд-20172;5;520;129;129;69;40;49;24;145;50;189;26;129
489;пнд-20173;5;520;129;130;69;41;50;21;150;52;191;21;110
490;пнд-203;5;600;128;134;72;49;49;27;160;48;208;23;118
491;пнд-2032;5;554;129;130;69;40;48;24;143;51;189;21;108
492;пнд-21180;5;652;129;128;70;41;49;25;146;54;190;26;130
493;пнд-21304;5;555;128;129;69;40;49;24;145;50;189;26;129
494;пнд-32104;5;600;120;121;72;44;50;22;150;50;200;24;110
495;пнд-2101;5;500;124;134;68;37;47;24;150;47;190;25;100
496;пнд-98152;5;600;131;136;72;45;44;24;167;52;198;20;105
497;пнд-32128;5;600;125;128;67;43;50;26;150;50;197;21;110
498;пнд-32036;5;550;122;135;67;45;50;22;160;50;195;20;110
499;пнд-45050;5;500;115;118;60;45;40;20;145;43;180;25;100
500;пнд-01105;5;520;122;129;68;44;49;21;152;50;180;25;109
501;пнд-01701;5;550;130;130;74;42;46;25;154;51;202;25;117
502;пнд-01702;5;658;130;140;80;48;57;32;165;52;200;25;119
503;пнд-01704;5;550;131;134;65;45;48;24;158;52;200;25;110
